id,name,category,brand,price,material,color,weight,dimensions,description,image_url
1001,Industrial Drill,Power Tools,Bosch,229.99,Steel,Blue,2.5kg,25x10x8cm,Heavy-duty drill for concrete and steel,https://m.media-amazon.com/images/I/61FccnBarvL._UF894%2C1000_QL80_.jpg
1002,Hydraulic Press,Workshop Tools,Hitachi,1599.00,Iron,Gray,80kg,120x60x150cm,High-capacity hydraulic press machine,https://allinton.com.sg/wp-content/uploads/2018/09/AQ00868-164-MOTOR-DRIVEN-HYDRAULIC-PRESS-100-TON-768x768.png
1003,Electric Saw,Power Tools,DeWalt,499.50,Carbon Steel,Yellow,3.1kg,40x20x10cm,Electric saw for precision cutting,https://www.contractorsdirect.com/cdn/shop/files/32749_01.webp?v=1719588137&width=675
1004,LED Panel Light,Lighting,Philips,99.99,Aluminium,White,1.2kg,60x60x5cm,Energy-efficient industrial LED panel,https://www.industrialcommerciallighting.com/media/catalog/product/cache/658b5bae439743a0c5caf366a5f0df99/l/p/lpd-x22-40-store.jpg
1005,Air Compressor,Industrial,Ingersoll Rand,850.00,Alloy,Silver,35kg,90x60x80cm,Compact high-pressure air compressor,https://media.tractorsupply.com/is/image/TractorSupplyCompany/1752842?wid=554&hei=554&qlt=90&fmt=jpeg&resMode=sharp2&op_usm=0.9,1.0,8,0
1006,Steel Workbench,Furniture,Godrej,420.00,Steel,Gray,50kg,180x75x90cm,Industrial steel workbench for workshops,https://lewisandraby.co.uk/wp-content/uploads/square-2-640x640.jpg
1007,Safety Helmet,Safety Gear,3M,39.99,ABS Plastic,Yellow,0.5kg,25x20x15cm,Industrial safety helmet with adjustable strap,https://mobileimages.lowes.com/productimages/8bfa80bf-5a64-4748-8f50-66f5c753301f/70842593.jpeg?size=pdhism
1008,Welding Machine,Power Tools,Lincoln Electric,980.00,Iron,Red,25kg,65x45x30cm,Advanced inverter welding machine,https://m.media-amazon.com/images/I/61TgeQBkodL.jpg
1009,Heavy Duty Gloves,Safety Gear,Honeywell,19.99,Leather,Brown,0.3kg,30x15x3cm,Heat and cut-resistant industrial gloves,https://m.media-amazon.com/images/I/71B85WM8I4L._UF1000%2C1000_QL80_.jpg
1010,Industrial Fan,Equipment,Havells,349.00,Aluminium,Black,7.5kg,70x30x60cm,High-speed industrial cooling fan,https://images.thdstatic.com/productImages/3f76a75a-bb68-4742-8713-f18899c11f81/svn/yellow-adrinfly-industrial-fans-snph039in086-64_600.jpg
1011,Angle Grinder,Power Tools,Makita,189.00,Steel,Teal,2.2kg,30x12x10cm,Compact angle grinder for cutting and grinding,https://m.media-amazon.com/images/I/61-KVEAyJLL._AC_SX679_.jpg
1012,Workbench Vise,Workshop Tools,Yost,125.75,Cast Iron,Blue,7.8kg,25x20x15cm,Heavy-duty bench vise with swivel base,https://www.aloktools.com/wp-content/uploads/2019/04/Bench-Vise-do.jpg
1013,Chain Hoist,Equipment,Kito,289.99,Steel,Black/Orange,12kg,40x20x15cm,Manual chain hoist with 2-ton capacity,https://www.wiscolift.com/cdn/shop/products/gorbel-electric-chain-hoist-2-ton-full-view-hook-chain_1024x1024.jpg?v=1753968846
1014,Portable Generator,Industrial,Honda,1199.00,Aluminium,Red/Black,30kg,60x45x50cm,Silent portable generator for job sites,https://www.doggettequipment.com/getmedia/ba09e67e-7f2b-4ef5-a93d-3b35279568ed/PR-G2500I.JPG?width=900
1015,Industrial Vacuum Cleaner,Equipment,Kärcher,649.99,Plastic/Steel,Yellow/Black,14kg,55x40x70cm,High-capacity wet and dry vacuum cleaner,https://s1.kaercher-media.com/mam/99889120/mainproduct/91026/d1.jpg
1016,Pipe Cutter,Workshop Tools,RIDGID,85.50,Steel,Red,1.4kg,22x10x5cm,Adjustable pipe cutter for metal and PVC,https://storage.tameson.com/asset/Articles/general/pipe-cutter-main-image.jpg
1017,Workbench Lamp,Lighting,GE,49.99,Aluminium,Black,0.9kg,20x15x40cm,Flexible LED lamp for industrial workbenches,https://images.thdstatic.com/productImages/247eb1e5-888b-47b6-9392-2baab1026f84/svn/ryobi-jobsite-lighting-pcl667b-66_600.jpg
1018,Face Shield,Safety Gear,MSA,24.99,Polycarbonate,Clear/Black,0.4kg,30x25x20cm,Full-face protection shield for industrial use,https://busse-hospital-dosposables.s3.amazonaws.com/wp-content/uploads/20210604103055/395.jpg
1019,Plasma Cutter,Power Tools,Miller,135.00,Steel,Blue,18kg,50x30x40cm,Professional plasma cutter for metal fabrication,https://images.thdstatic.com/productImages/a58550b1-85e2-4919-982f-ed429bb1fbae/svn/forney-plasma-cutters-251-31_600.jpg
1020,Tool Storage Cabinet,Furniture,Stanley,299.00,Steel,Black/Yellow,40kg,100x50x80cm,Multi-drawer industrial tool storage solution,https://www.hertoolbelt.com/wp-content/uploads/adthrive/2018/07/hertoolbelt-wall-control-tool-cabinet-480x720.jpg
